t	v
135.545	16.48724023
135.655	16.47910354
135.765	16.4706166
135.875	16.46178323
135.985	16.45260722
136.095	16.44309235
136.205	16.43324232
136.315	16.42306084
136.425	16.41255155
136.535	16.40171808
136.645	16.39056402
136.755	16.37909291
136.865	16.36730829
136.975	16.35521363
137.085	16.3428124
137.195	16.330108
137.305	16.31710382
137.865	16.24567561
138.965	16.08444839
140.065	15.89820735
141.165	15.68968863
142.265	15.46135186
143.365	15.2154003
144.465	14.95380352
145.565	14.67831947
146.665	14.39051556
147.765	14.09178828
148.865	13.7833812
149.965	13.46640151
151.065	13.14183483
152.165	12.81055854
153.265	12.47335367
154.365	12.13091537
155.465	11.78386214
156.565	11.43274404
157.665	11.07804974
158.765	10.7202128
159.865	10.35961711
160.965	9.996601713
162.065	9.63146496
163.165	9.264468264
164.265	8.895839366
165.365	8.525775268
166.465	8.154444864
167.565	7.78199132
168.665	7.408534246
169.765	7.034171695
170.865	6.658982017
171.965	6.283025591
173.065	5.90634646
174.165	5.528973874
175.265	5.150923769
176.365	4.772200168
177.465	4.392796541
178.565	4.012697099
179.665	3.63187805
180.765	3.250308808
181.865	2.867953153
182.965	2.484770364
184.065	2.100716297
185.165	1.715744433
186.265	1.329806888
187.365	0.942855377
188.465	0.554842153
189.565	0.165720899
190.665	-0.22455241
191.765	-0.616018689
192.865	-1.00871495
193.965	-1.402673554
195.065	-1.797921493
196.165	-2.194479711
197.265	-2.592362459
198.365	-2.991576687
199.465	-3.39212147
200.565	-3.793987474
201.665	-4.197156459
202.765	-4.601600819
203.865	-5.007283166
204.965	-5.414155949
206.065	-5.822161123
207.165	-6.231229859
208.265	-6.641282302
209.365	-7.052227384
210.465	-7.463962686
211.565	-7.876374361
212.665	-8.289337129
213.765	-8.702714338
214.865	-9.116358106
215.965	-9.530109564
217.065	-9.943799196
218.165	-10.35724731
219.265	-10.77026462
220.365	-11.18265302
221.465	-11.59420651
222.565	-12.0047123
223.665	-12.41395213
224.765	-12.82170379
225.865	-13.22774285
226.965	-13.63184462
228.065	-14.03378626
229.165	-14.43334901
230.265	-14.83032061
231.365	-15.22449763
232.465	-15.6156879
233.565	-16.00371267
234.665	-16.38840876
235.765	-16.76963027
236.865	-17.14725008
237.965	-17.52116093
239.065	-17.89127611
240.165	-18.25752972
241.265	-18.61987664
242.365	-18.97829201
243.465	-19.33277057
244.565	-19.68332565
245.665	-20.02998804
246.765	-20.37280477
247.865	-20.71183777
248.965	-21.04716264
250.065	-21.3788674
251.165	-21.70705131
252.265	-22.03182382
253.365	-22.35330366
254.465	-22.67161802
255.565	-22.98690187
256.665	-23.29929742
257.765	-23.60895368
258.865	-23.9160262
259.965	-24.2206768
261.065	-24.52307352
262.165	-24.82339059
263.265	-25.12180852
264.365	-25.41851424
265.465	-25.7137013
266.565	-26.00757019
267.665	-26.30032869
268.765	-26.59219223
269.865	-26.88338439
270.965	-27.17413741
272.065	-27.46469274
273.165	-27.75530168
274.265	-28.04622605
275.365	-28.3377389
276.465	-28.63012528
277.565	-28.92368312
278.665	-29.21872403
279.765	-29.51557425
280.865	-29.81457561
281.965	-30.11608654
283.065	-30.42048304
284.165	-30.72815974
285.265	-31.03953095
286.365	-31.35503161
287.465	-31.67511833
288.565	-32.00027021
289.665	-32.33098967
290.765	-32.66780307
291.865	-33.01126117
292.965	-33.36193933
294.065	-33.7204374
295.165	-34.08737934
296.265	-34.46341235
297.365	-34.84920562
298.465	-35.24544864
299.565	-35.65284895
300.665	-36.07212953
301.765	-36.50402578
302.865	-36.9492822
303.965	-37.40864896
305.065	-37.88287857
306.165	-38.37272114
307.265	-38.8789114
308.365	-39.40217719
309.465	-39.94324341
310.565	-40.50283163
311.665	-41.08166274
312.765	-41.68046236
313.865	-42.29996887
314.965	-42.94094403
316.065	-43.60418607
317.165	-44.29054512
318.265	-45.00094066
319.365	-45.73638086
320.465	-46.49798316
321.565	-47.2869961
322.665	-48.10482155
323.765	-48.95303725
324.865	-49.83341888
325.965	-50.74796122
327.065	-51.6988975
328.165	-52.68871589
329.265	-53.72017143
330.365	-54.7962909
330.515	-54.94675786
330.57	-55.00221709
330.625	-55.05779865
330.68	-55.1135028
330.735	-55.16932988
330.79	-55.22528031
330.845	-55.2813545
330.9	-55.3375529
330.955	-55.39387595
331.01	-55.45032409
331.065	-55.50689777
331.12	-55.56359744
331.175	-55.62042355
331.23	-55.67737656
331.285	-55.73445691
331.34	-55.79166507
331.395	-55.84900149
331.45	-55.90646663
331.505	-55.96406094
331.56	-56.02178488
331.615	-56.07963893
331.67	-56.13762353
331.725	-56.19573915
331.78	-56.25398626
331.835	-56.31236533
331.89	-56.37087681
331.945	-56.42952118
332	-56.4882989
332.055	-56.54721045
332.11	-56.6062563
332.165	-56.66543692
332.22	-56.72475277
332.275	-56.78420434
332.33	-56.8437921
332.385	-56.90351652
332.44	-56.96337808
332.495	-57.02337726
332.55	-57.08351453
332.605	-57.14379038
332.66	-57.20420527
332.715	-57.2647597
